proj_id,fund_code,management,retail_type,term_flag
M0094_2558,M-MIDSMALL,AM,R,N
M0099_2555,SPOT7S6,-,R,N
M0104_2555,I-GOLD5S1,-,R,N
M0105_2559,M-PROP8S1,AM,R,N
M0108_2561,GI5EM2,AM,R,N
M0111_2561,M-SUKUK,OT,R,N
M0113_2561,M-TWSUK RMF,AM,R,N
M0114_2556,SPOT33S9,AM,R,N
M0115_2556,SPOT33S10,AM,R,N
M0117_2550,I-15,AM,R,N
M0118_2556,SPOT33S11,AM,R,N
M0132_2556,I-SMART,AM,R,N
M0135_2553,SPOT10S3,-,R,N
M0138_2562,M-MEGA,AM,R,N
M0140_2557,MMM-PLUS,AM,R,N
M0144_2557,SI5U1,-,R,N
M0144_2559,M-PROP RMF,AM,R,N
M0152_2561,HI-DIV RMF,AM,R,N
M0154_2557,SI5E1,-,R,N
M0155_2563,MTQS,AM,R,N
M0175_2560,M-MIDSMALL LTF,AM,R,N
M0176_2563,MTFS,AM,R,N
M0177_2552,MG-GLOBE,-,R,N
M0178_2555,SPOT7S7,-,R,N
M0178_2559,M-PROP8S2,AM,R,N
M0189_2553,MG-RMF,-,R,N
M0195_2556,SPOT33S12,-,R,N
M0198_2556,SPOT33S14,AM,R,N
M0200_2563,MGF,OT,R,N
M0203_2556,SPOT33S15,AM,R,N
M0204_2542,SMART,SM,R,N
M0210_2561,M-MULTI,AM,R,N
M0213_2557,SMART-PLUS,-,R,N
M0214_2558,SI5E3,AM,R,N
M0218_2558,SI5U2,-,R,N
M0224_2558,SI5A3,AM,R,N
M0226_2551,IQ-PORT,-,R,N
M0239_2547,MGB,AM,R,N
M0242_2558,SI5I1,AM,R,N
M0243_2553,I-35 STAR,-,R,N
M0246_2550,MG-LTF,AM,R,N
M0249_2550,I-ASIA,-,R,N
M0250_2550,MIF-LTF,AM,R,N
M0258_2563,MCHINA,OT,R,N
M0264_2562,MPII,AM,R,N
M0278_2552,M-STOR,-,R,N
M0281_2551,MNRF,-,R,N
M0291_2555,SPOT7S8,-,R,N
M0295_2554,I-GOLD7S2,AM,R,N
M0298_2549,HAPPY D5,AM,R,N
M0300_2558,SI5A4,-,R,N
M0307_2558,MWELL1,AM,R,N
M0308_2560,M-MINVOL,AM,R,N
M0316_2550,Q-PORT,AM,R,N
M0328_2550,I-20,AM,R,N
M0332_2561,M-ATECH,AM,R,N
M0337_2555,I-REITs 7MT,-,R,N
M0341_2556,SPOT33S17,-,R,N
M0342_2550,I-AGRI,-,R,N
M0345_2557,M-PPP,-,R,N
M0346_2551,PRO10 S3,-,R,N
M0346_2552,SPOT10 S1,-,R,N
M0353_2558,M-CHINA,-,R,N
M0371_2560,M-SELECTCG,AM,R,N
M0382_2560,M-SMART INCOME,AM,R,N
M0385_2553,I-CHINA8S1,-,R,N
M0386_2553,I-REITs,AM,R,N
M0393_2557,M-PAT,-,R,N
M0400_2550,PRO16,-,R,N
M0404_2553,I-M10S1,-,R,N
M0425_2556,SPOT33S18,-,R,N
M0427_2553,I-Commodity,-,R,N
M0444_2553,I-S/T Bond,-,R,N
M0445_2552,I-66R,-,R,N
M0447_2556,SPOT33S19,-,R,N
M0448_2556,SPOT33S20,-,R,N
M0452_2558,I-OIL5S1,-,R,N
M0456_2547,MV-LTF,AM,R,N
M0461_2560,M-DYNAMIC,AM,R,N
M0466_2558,I-USS1,AM,R,N
M0476_2555,SPOT7S9,-,R,N
M0477_2550,M-GOV,-,R,N
M0480_2552,SPOT9.99,-,R,N
M0486_2550,I-NATURAL,-,R,N
M0493_2562,MDIVA,AM,R,N
M0497_2546,M-BT,AM,R,N
M0498_2554,I-ASEAN STAR 10,AM,R,N
